Feature,Ridge_Coefficient,Lasso_Coefficient
open,4.090056658928188,-0.0
high,5.890802248872653,46.096245175306535
low,5.6025849020965905,26.833893060321987
volume,-3.3947750664252196,-0.8731010473867667
close_t-1,4.073400029693099,-0.0
volume_t-1,-3.5548798006859643,0.02420025363117763
close_t-2,3.654409537869331,-0.0
volume_t-2,-3.5459371480395174,0.0
close_t-3,4.018551416679981,0.0
volume_t-3,-3.703604008915443,-0.30454239565679575
open^2,0.8283460453107196,-14.552678833567265
open high,2.0340218963409202,-0.0
open low,1.9471477456938044,-0.0
open volume,-0.7148049727055636,-3.6648852954493196
open close_t-1,0.8199298989524424,-0.0
open volume_t-1,-0.5094218628608611,-2.840409476699631
open close_t-2,0.4892983181839257,-6.782184921627071
open volume_t-2,-0.4634439952783776,-0.009820316340451983
open close_t-3,0.8244627969372507,-0.0
open volume_t-3,-0.3325345290306086,0.0
high^2,3.2883974938305647,-0.0
high low,3.1431934255453964,0.0
high volume,2.3224137932350297,4.562966920871894
high close_t-1,2.0265207322115053,-0.0
high volume_t-1,2.3173963743191637,2.6901473982032114
high close_t-2,1.7127002630198478,-0.0
high volume_t-2,2.101651585478098,-0.0
high close_t-3,2.0606163119612293,-0.0
high volume_t-3,2.399287435659559,-0.0
low^2,3.0130858175032724,19.72819464609767
low volume,1.2330593557061496,-1.6912501280285108
low close_t-1,1.936922238351011,0.0
low volume_t-1,1.3126982416663284,0.0
low close_t-2,1.6012837352425917,0.0
low volume_t-2,1.4020341566877057,0.0
low close_t-3,1.9189654656385844,0.0
low volume_t-3,1.6148578243919294,0.48577668468900925
volume^2,0.4639790083636435,-0.0
volume close_t-1,-0.6871689239749746,-0.43077356454783966
volume volume_t-1,0.10813662175151952,0.0
volume close_t-2,-0.6449574173733081,-0.0
volume volume_t-2,-0.14555041840991334,-0.08524258799780643
volume close_t-3,-0.01817888310179904,2.0604504530064705
volume volume_t-3,-0.12781943363758538,-0.2255760765286489
close_t-1^2,0.8118913926454187,-0.0
close_t-1 volume_t-1,-0.46607009615029266,-0.0
close_t-1 close_t-2,0.47885777724260403,-0.0
close_t-1 volume_t-2,-0.473880131723876,-0.0
close_t-1 close_t-3,0.8116715018448416,-0.0
close_t-1 volume_t-3,-0.34546015645978545,0.0
volume_t-1^2,-0.02884502825928289,0.2225110927360761
volume_t-1 close_t-2,-0.4752232079972395,-0.0
volume_t-1 volume_t-2,-0.08772180939185484,0.0
volume_t-1 close_t-3,0.3025097566605269,0.0
volume_t-1 volume_t-3,-0.2235179339275787,0.0
close_t-2^2,0.13306581674144324,-1.0550672460289734
close_t-2 volume_t-2,-0.6426884808643251,-0.0
close_t-2 close_t-3,0.45343102242136596,-0.0
close_t-2 volume_t-3,-0.6024770467419329,0.0
volume_t-2^2,0.06966528829235329,0.0
volume_t-2 close_t-3,-0.10743796665983113,0.0
volume_t-2 volume_t-3,-0.20136723294912365,-0.0
close_t-3^2,0.7565782392604102,-0.0
close_t-3 volume_t-3,-0.2290196191547935,-0.112153862596399
volume_t-3^2,-0.1468846569748551,-0.0
