horizon,mae_lasso,mae_ridge
1,4.249468308856592,5.107952101226942
2,19.175160962334814,23.683572343588764
3,19.882286060318467,28.383352667953414
4,23.044659457742085,34.603327944314785
5,18.60762458087023,32.45112002937939
6,16.49170369443193,30.22881224470215
7,17.841354885704384,25.97983361372753
8,19.020058838130552,22.740290863573065
9,18.64613180053207,21.56149497260418
10,18.14236960688897,20.863630638414264
11,18.64603870344565,23.705734765232
12,20.91829481033011,27.941239876361823
13,20.934799173200833,29.628166665550534
14,19.547110920355085,29.462547782673823
15,18.577111534150333,29.089891363757236
16,18.393096735720498,30.055440597678107
17,18.39190685769229,31.069978709414084
18,18.889182623208807,32.47102153261513
19,18.497797814427667,32.888843466857644
20,18.51505146684164,33.63474740071271
21,18.793042865242864,34.57222757557032
22,18.308035048647568,34.68690513163013
23,19.203647833782508,33.610633197021315
24,19.692542887210895,32.29190512679236
