actual,predicted_lasso,predicted_ridge
314.26,310.0105316911434,309.1520478987731
273.83,286.6978084047139,320.9707167308578
284.32,272.74312073133586,297.88923421942684
273.94,264.757486350973,295.03451187033977
305.85,308.11894363796284,311.6207020475422
312.45,312.6976134454337,329.3879954226344
332.47,329.3844961719482,342.84130185599554
333.83,311.41237335203414,352.92141438316315
322.21,315.3968985448456,353.83396942106253
320.16,313.33975234358917,347.61064075489486
282.87,266.603715245607,326.5761442324341
260.64,251.5840313985325,297.5132964326614
285.42,274.3931573106649,294.3902258949175
308.06,310.28297280630704,322.93977875721873
311.55,326.37680046349743,342.56972577067575
290.92,270.60188343404104,320.0654694129231
288.18,263.58848369453943,305.4171793937526
279.21,278.74357224399085,309.92581246422515
295.1,300.7841816333018,311.97667824613603
287.71,288.3430417503361,309.0872291448419
282.2,270.5503502831637,294.18313738738914
298.43,296.5386218157226,306.0855877451726
345.46,327.80476407406815,332.53175268899616
337.49,342.60147426589464,362.56403569650445
