actual,predicted
314.26,308.5125224176855
273.83,294.13491204694293
284.32,275.1739021098272
273.94,268.4210881531962
305.85,308.9276543417389
312.45,312.8812341178103
332.47,330.5675222879897
333.83,315.67967786291007
322.21,319.9842549881776
320.16,316.6080798420599
282.87,279.9832766594532
260.64,258.4538872182057
285.42,276.90553334223796
308.06,308.74900037938164
311.55,324.3672919414701
290.92,279.0410328729643
288.18,269.3562043024895
279.21,282.6023941761946
295.1,301.5555247787395
287.71,288.6508052053842
282.2,272.706244318387
298.43,296.86126810053
345.46,329.85932670711395
337.49,336.98273803187993
