horizon,actual,predicted,abs_error
1,314.26,308.51252241768555,5.7474775823144455
2,273.83,310.2858293807366,36.45582938073659
3,284.32,309.69029208418874,25.370292084188748
4,273.94,310.4839749872879,36.543974987287925
5,305.85,310.72508562733293,4.875085627332908
6,312.45,310.6590931797895,1.7909068202104663
7,332.47,310.66966726524976,21.80033273475027
8,333.83,310.6886428332033,23.141357166796695
9,322.21,310.68690128300824,11.52309871699174
10,320.16,310.68559298419495,9.47440701580507
11,282.87,310.68651767345625,27.816517673456246
12,260.64,310.68666105496675,50.04666105496676
13,285.42,310.6865358469329,25.266535846932868
14,308.06,310.68655361770703,2.6265536177070317
15,311.55,310.68657367805844,0.8634263219415743
16,290.92,310.6865685152509,19.766568515250867
17,288.18,310.6865670327976,22.50656703279759
18,279.21,310.68656827952617,31.47656827952619
19,295.1,310.68656830872186,15.586568308721837
20,287.71,310.6865681327951,22.976568132795137
21,282.2,310.68656816977085,28.486568169770862
22,298.43,310.6865681909213,12.256568190921314
23,345.46,310.68656818174185,34.77343181825813
24,337.49,310.68656818060634,26.803431819393666
